temperature,humidity,pressure,wind_speed,precipitation
25.3,65.2,1013.2,12.5,0.0
28.7,58.9,1010.8,15.3,2.1
22.1,72.4,1015.6,8.9,0.0
30.2,45.6,1008.3,18.7,5.4
19.8,78.9,1020.1,6.2,0.0
27.4,62.1,1012.4,13.8,1.2
24.6,68.7,1014.9,11.1,0.0
32.1,42.3,1006.7,20.4,8.7
18.9,81.2,1022.3,4.8,0.0
26.8,64.5,1011.6,14.2,0.8
23.2,71.8,1016.8,9.6,0.0
29.5,49.8,1009.1,17.1,3.9
21.4,75.6,1018.7,7.3,0.0
31.8,38.9,1005.2,22.6,12.3
17.6,84.1,1024.5,3.1,0.0
25.9,66.3,1013.8,12.9,0.5
28.3,60.7,1010.2,16.8,2.8
22.7,73.1,1015.1,10.2,0.0
33.2,35.4,1003.8,25.1,15.6
16.8,87.3,1026.8,2.4,0.0 
